Country,Commodity type,srcYear,Imports or exports,Quantity of imports or exports of principal agricultural commodities ,Value of imports or exports of principal agricultural commodities ,YearCode,Year
India,Cashew,2012-13,Exports,104.09,4067.21,2012,"Financial Year (Apr - Mar), 2012"
India,Cotton raw including Waste,2009-10,Exports,,9537.08,2009,"Financial Year (Apr - Mar), 2009"
India,Sesame seeds,2009-10,Imports,9.23,53.26,2009,"Financial Year (Apr - Mar), 2009"
India,Floriculture products,2009-10,Imports,,45.88,2009,"Financial Year (Apr - Mar), 2009"
India,Shellac,2009-10,Imports,3.55,34.1,2009,"Financial Year (Apr - Mar), 2009"
India,Rice (other than Basmati),2009-10,Imports,0.07,0.37,2009,"Financial Year (Apr - Mar), 2009"
India,Poultry products,2009-10,Imports,,26.72,2009,"Financial Year (Apr - Mar), 2009"
India,Dairy products,2009-10,Imports,,333.64,2009,"Financial Year (Apr - Mar), 2009"
India,Groundnut,2009-10,Exports,340.26,1425.93,2009,"Financial Year (Apr - Mar), 2009"
India,Sugar,2009-10,Imports,2551.42,5965.8,2009,"Financial Year (Apr - Mar), 2009"
India,Ayush and herbal products,2009-10,Exports,59.05,1247.05,2009,"Financial Year (Apr - Mar), 2009"
India,Mollases,2009-10,Exports,31.1,19.77,2009,"Financial Year (Apr - Mar), 2009"
India,Other oil seeds,2009-10,Exports,49.79,139.36,2009,"Financial Year (Apr - Mar), 2009"
India,Processed fruits and juices,2009-10,Exports,,1904.18,2009,"Financial Year (Apr - Mar), 2009"
India,Mollases,2009-10,Imports,45.54,32.29,2009,"Financial Year (Apr - Mar), 2009"
India,Coffee,2009-10,Imports,40.88,297.34,2009,"Financial Year (Apr - Mar), 2009"
India,Total Agricultural Exports,2009-10,Exports,,86171.1,2009,"Financial Year (Apr - Mar), 2009"
India,Cashew nut shell liquid,2009-10,Imports,0,0,2009,"Financial Year (Apr - Mar), 2009"
India,Processed meat,2009-10,Imports,1.41,9.79,2009,"Financial Year (Apr - Mar), 2009"
India,Fruits/vegetable seeds,2009-10,Imports,12.67,284.42,2009,"Financial Year (Apr - Mar), 2009"
India,Marine products,2009-10,Exports,698.45,9899.98,2009,"Financial Year (Apr - Mar), 2009"
India,Other meat,2009-10,Imports,0.33,6.67,2009,"Financial Year (Apr - Mar), 2009"
